timestamp,x,y,z
1489816944.46,-6.36,0.24,7.2
1489816944.47,-6.43,0.21,7.24
1489816944.48,-6.48,0.19,7.39
1489816944.5,-6.48,0.21,7.41
1489816944.51,-6.42,0.23,7.4
1489816944.53,-6.45,0.19,7.2
1489816944.54,-6.38,0.08,7.21
1489816944.55,-6.36,0.03,7.13
1489816944.57,-6.45,0.07,7.16
1489816944.59,-6.43,0.18,7.31
1489816944.6,-6.39,0.26,7.51
1489816944.62,-6.4,0.42,7.72
1489816944.63,-6.37,0.47,7.79
1489816944.64,-6.39,0.45,7.77
1489816944.66,-6.41,0.41,7.57
1489816944.67,-6.51,0.27,7.32
1489816944.69,-6.48,0.18,7.08
1489816944.7,-6.45,0.1,7.09
1489816944.71,-6.46,0.11,7.26
1489816944.73,-6.42,0.17,7.46
1489816944.75,-6.42,0.02,7.41
1489816944.76,-6.61,-0.11,7.2
1489816944.77,-6.64,0.0,7.04
1489816944.79,-6.57,0.17,7.06
1489816944.8,-6.47,0.23,7.08
1489816944.82,-6.52,0.12,7.07
1489816944.83,-6.53,-0.01,7.14
1489816944.84,-6.68,-0.13,7.16
1489816944.86,-6.73,-0.06,7.15
1489816944.87,-6.79,0.0,7.18
1489816944.89,-6.7,0.09,7.18
1489816944.91,-6.64,0.19,7.17
1489816944.92,-6.58,0.23,7.17
1489816944.93,-6.54,0.14,7.1
1489816944.95,-6.55,0.08,7.15
1489816944.96,-6.5,0.07,7.13
1489816944.98,-6.52,0.01,7.18
1489816944.99,-6.53,0.0,7.15
1489816945.0,-6.47,0.14,7.21
1489816945.02,-6.5,0.11,7.21
1489816945.03,-6.55,0.11,7.24
1489816945.05,-6.48,0.11,7.21
1489816945.07,-6.47,0.09,7.18
1489816945.08,-6.53,0.07,7.23
1489816945.09,-6.57,0.14,7.16
1489816945.11,-6.63,0.12,7.1
1489816945.12,-6.7,0.08,7.13
1489816945.14,-6.68,0.11,7.1
1489816945.15,-6.68,0.06,7.17
1489816945.16,-6.65,0.06,7.2
1489816945.18,-6.67,0.03,7.1
1489816945.2,-6.69,0.04,7.06
1489816945.21,-6.68,0.0,7.09
1489816945.23,-6.65,-0.02,7.12
1489816945.24,-6.6,0.03,7.11
1489816945.25,-6.57,0.03,7.09
1489816945.27,-6.58,0.04,7.08
1489816945.28,-6.64,0.04,7.07
1489816945.3,-6.62,0.08,7.03
1489816945.31,-6.6,0.08,7.17
1489816945.32,-6.66,0.0,7.28
1489816945.34,-6.69,0.11,7.45
1489816945.36,-6.6,0.08,7.48
1489816945.37,-6.53,0.18,7.5
1489816945.39,-6.52,0.2,7.39
1489816945.4,-6.51,0.09,7.24
1489816945.41,-6.51,0.08,7.18
1489816945.43,-6.51,0.19,7.05
1489816945.44,-6.56,0.21,7.0
1489816945.46,-6.65,0.21,7.17
1489816945.47,-6.66,0.24,7.39
1489816945.48,-6.6,0.24,7.52
1489816945.5,-6.55,0.29,7.6
1489816945.52,-6.52,0.25,7.43
1489816945.53,-6.47,0.21,7.24
1489816945.54,-6.49,0.17,7.08
1489816945.56,-6.62,0.08,7.05
1489816945.57,-6.64,0.09,7.08
1489816945.59,-6.58,0.15,7.36
1489816945.6,-6.42,0.17,7.49
1489816945.61,-6.32,0.27,7.46
1489816945.63,-6.28,0.28,7.3
1489816945.64,-6.27,0.09,7.08
1489816945.66,-6.4,0.08,7.03
1489816945.68,-6.42,0.04,7.18
1489816945.69,-6.38,0.13,7.33
1489816945.7,-6.34,0.36,7.48
1489816945.72,-6.34,0.39,7.46
1489816945.73,-6.37,0.37,7.45
1489816945.75,-6.36,0.32,7.35
1489816945.76,-6.34,0.17,7.3
1489816945.77,-6.25,0.17,7.37
1489816945.79,-6.21,0.34,7.24
1489816945.8,-6.19,0.23,7.18
1489816945.82,-6.17,0.2,7.17
1489816945.84,-6.19,0.25,7.08
1489816945.85,-6.17,0.21,7.26
1489816945.86,-6.17,0.24,7.39
1489816945.88,-6.12,0.27,7.41
1489816945.89,-6.09,0.32,7.4
1489816945.91,-6.1,0.34,7.36
1489816945.92,-6.22,0.21,7.08
1489816945.93,-6.18,0.15,6.99
1489816945.95,-6.13,0.18,6.93
1489816945.97,-6.11,0.23,7.01
1489816945.98,-6.11,0.21,7.15
1489816946.0,-6.28,0.11,7.27
1489816946.01,-6.43,0.04,7.36
1489816946.02,-6.53,0.06,7.52
1489816946.04,-6.57,-0.01,7.49
1489816946.05,-6.55,0.13,7.54
1489816946.07,-6.47,0.26,7.59
1489816946.08,-6.38,0.29,7.59
1489816946.09,-6.3,0.32,7.4
1489816946.11,-6.31,0.26,7.1
1489816946.13,-6.29,0.21,6.85
1489816946.14,-6.39,0.17,6.83
1489816946.16,-6.53,0.09,6.9
1489816946.17,-6.64,0.18,7.23
1489816946.18,-6.68,0.19,7.58
1489816946.2,-6.68,0.27,7.76
1489816946.21,-6.59,0.34,7.83
1489816946.22,-6.52,0.28,7.72
1489816946.24,-6.55,0.19,7.36
